date,product_name,current_price,original_price,discount_price,rating,year,month,quarter,day_of_week,is_weekend,day_of_year,price_change,price_change_pct,days_since_last_change,discount_percentage
2022-11-17,Apple iPhone 14,79798,86036,6238,4.6,2022,11,4,3,0,321,-102.0,-0.1276595744680864,15,7.25
2022-11-18,Apple iPhone 14,79881,79995,113,4.7,2022,11,4,4,0,322,83.0,0.10401263189554477,16,0.14
2022-11-19,Apple iPhone 14,79900,82190,2290,4.7,2022,11,4,5,1,323,19.0,0.023785380753871266,17,2.79
2022-11-20,Apple iPhone 14,79900,85356,5456,4.7,2022,11,4,6,1,324,0.0,0.0,17,6.39
2022-11-21,Apple iPhone 14,79900,82011,2111,4.7,2022,11,4,0,0,325,0.0,0.0,17,2.57
2022-11-22,Apple iPhone 14,79530,80757,1227,4.7,2022,11,4,1,0,326,-370.0,-0.46307884856070514,18,1.52
2022-11-23,Apple iPhone 14,79900,82669,2769,4.8,2022,11,4,2,0,327,370.0,0.4652332453162433,19,3.35
2022-11-24,Apple iPhone 14,79900,81649,1749,4.6,2022,11,4,3,0,328,0.0,0.0,19,2.14
2022-11-25,Apple iPhone 14,79900,85322,5422,4.7,2022,11,4,4,0,329,0.0,0.0,19,6.35
2022-11-26,Apple iPhone 14,79781,80628,847,4.7,2022,11,4,5,1,330,-119.0,-0.14893617021276562,20,1.05
2022-11-27,Apple iPhone 14,79900,84580,4680,4.6,2022,11,4,6,1,331,119.0,0.14915832090347525,21,5.53
2022-11-28,Apple iPhone 14,79900,84231,4331,4.6,2022,11,4,0,0,332,0.0,0.0,21,5.14
2022-11-29,Apple iPhone 14,79625,84771,5146,4.7,2022,11,4,1,0,333,-275.0,-0.3441802252815984,22,6.07
2022-11-30,Apple iPhone 14,79900,83669,3769,4.6,2022,11,4,2,0,334,275.0,0.3453689167974838,23,4.5
2022-12-01,Apple iPhone 14,79900,83566,3666,4.6,2022,12,4,3,0,335,0.0,0.0,23,4.39
2022-12-02,Apple iPhone 14,79900,82059,2159,4.7,2022,12,4,4,0,336,0.0,0.0,23,2.63
2022-12-03,Apple iPhone 14,79676,83037,3361,4.6,2022,12,4,5,1,337,-224.0,-0.28035043804756077,24,4.05
2022-12-04,Apple iPhone 14,78312,78756,444,4.6,2022,12,4,6,1,338,-1364.0,-1.711933329986448,25,0.56
2022-12-05,Apple iPhone 14,79567,83513,3946,4.6,2022,12,4,0,0,339,1255.0,1.6025641025640969,26,4.73
2022-12-06,Apple iPhone 14,79900,80229,329,4.6,2022,12,4,1,0,340,333.0,0.41851521359357324,27,0.41
2022-12-07,Apple iPhone 14,79900,83692,3792,4.7,2022,12,4,2,0,341,0.0,0.0,27,4.53
2022-12-08,Apple iPhone 14,79900,85444,5544,4.6,2022,12,4,3,0,342,0.0,0.0,27,6.49
2022-12-09,Apple iPhone 14,78642,78677,35,4.6,2022,12,4,4,0,343,-1258.0,-1.5744680851063841,28,0.04
2022-12-10,Apple iPhone 14,79900,81208,1308,4.6,2022,12,4,5,1,344,1258.0,1.5996541288370025,29,1.61
2022-12-11,Apple iPhone 14,79900,85556,5656,4.7,2022,12,4,6,1,345,0.0,0.0,29,6.61
2022-12-12,Apple iPhone 14,79900,80464,564,4.5,2022,12,4,0,0,346,0.0,0.0,29,0.7
2022-12-13,Apple iPhone 14,79606,84950,5344,4.7,2022,12,4,1,0,347,-294.0,-0.3679599499374242,30,6.29
2022-12-14,Apple iPhone 14,79900,86136,6236,4.6,2022,12,4,2,0,348,294.0,0.3693188955606441,31,7.24
2022-12-15,Apple iPhone 14,79724,80760,1035,4.7,2022,12,4,3,0,349,-176.0,-0.22027534418022077,32,1.28
2022-12-16,Apple iPhone 14,79369,82021,2651,4.5,2022,12,4,4,0,350,-355.0,-0.44528623751943774,33,3.23
2022-12-17,Apple iPhone 14,79900,82404,2504,4.5,2022,12,4,5,1,351,531.0,0.6690269500686741,34,3.04
2022-12-18,Apple iPhone 14,78986,83153,4166,4.7,2022,12,4,6,1,352,-914.0,-1.1439299123904845,35,5.01
2022-12-19,Apple iPhone 14,79900,81670,1770,4.6,2022,12,4,0,0,353,914.0,1.1571670929025446,36,2.17
2022-12-20,Apple iPhone 14,79900,83126,3226,4.5,2022,12,4,1,0,354,0.0,0.0,36,3.88
2022-12-21,Apple iPhone 14,79097,80615,1518,4.6,2022,12,4,2,0,355,-803.0,-1.005006257822283,37,1.88
2022-12-22,Apple iPhone 14,78790,80877,2086,4.6,2022,12,4,3,0,356,-307.0,-0.3881310289897244,38,2.58
2022-12-23,Apple iPhone 14,79532,84124,4591,4.7,2022,12,4,4,0,357,742.0,0.9417438761264219,39,5.46
2022-12-24,Apple iPhone 14,78550,82338,3788,4.5,2022,12,4,5,1,358,-982.0,-1.2347231303123318,40,4.6
2022-12-25,Apple iPhone 14,79215,79896,681,4.6,2022,12,4,6,1,359,665.0,0.8465945257797536,41,0.85
2022-12-26,Apple iPhone 14,78643,83081,4438,4.6,2022,12,4,0,0,360,-572.0,-0.722085463611688,42,5.34
2022-12-27,Apple iPhone 14,79218,81680,2461,4.6,2022,12,4,1,0,361,575.0,0.731152168660909,43,3.01
2022-12-28,Apple iPhone 14,79633,85789,6156,4.6,2022,12,4,2,0,362,415.0,0.5238708374359469,44,7.18
2022-12-29,Apple iPhone 14,78991,84683,5692,4.5,2022,12,4,3,0,363,-642.0,-0.8061984353220364,45,6.72
2022-12-30,Apple iPhone 14,78856,80380,1524,4.6,2022,12,4,4,0,364,-135.0,-0.1709055462014608,46,1.9
2022-12-31,Apple iPhone 14,78992,83442,4449,4.6,2022,12,4,5,1,365,136.0,0.1724662676270583,47,5.33
2023-01-01,Apple iPhone 14,78688,79601,912,4.5,2023,1,1,6,1,1,-304.0,-0.3848490986429032,48,1.15
2023-01-02,Apple iPhone 14,78407,81904,3496,4.6,2023,1,1,0,0,2,-281.0,-0.3571065473769841,49,4.27
2023-01-03,Apple iPhone 14,79900,80512,612,4.6,2023,1,1,1,0,3,1493.0,1.9041667198081758,50,0.76
2023-01-04,Apple iPhone 14,78312,78810,497,4.5,2023,1,1,2,0,4,-1588.0,-1.9874843554443022,51,0.63
2023-01-05,Apple iPhone 14,78589,82310,3720,4.6,2023,1,1,3,0,5,277.0,0.3537133517213187,52,4.52
2023-01-06,Apple iPhone 14,77879,80876,2997,4.6,2023,1,1,4,0,6,-710.0,-0.9034343228696118,53,3.71
2023-01-07,Apple iPhone 14,77920,77990,69,4.6,2023,1,1,5,1,7,41.0,0.052645771003745345,54,0.09
2023-01-08,Apple iPhone 14,78911,79016,105,4.3,2023,1,1,6,1,8,991.0,1.27181724845995,55,0.13
2023-01-09,Apple iPhone 14,78098,83792,5694,4.5,2023,1,1,0,0,9,-813.0,-1.0302746131718,56,6.8
2023-01-10,Apple iPhone 14,79085,82118,3032,4.6,2023,1,1,1,0,10,987.0,1.2637967681630835,57,3.69
2023-01-11,Apple iPhone 14,77870,81878,4008,4.5,2023,1,1,2,0,11,-1215.0,-1.5363216792059209,58,4.9
2023-01-12,Apple iPhone 14,79483,85526,6043,4.4,2023,1,1,3,0,12,1613.0,2.071401053037114,59,7.07
2023-01-13,Apple iPhone 14,78655,82582,3927,4.4,2023,1,1,4,0,13,-828.0,-1.0417321943057,60,4.76
2023-01-14,Apple iPhone 14,78596,81766,3170,4.5,2023,1,1,5,1,14,-59.0,-0.07501112453117686,61,3.88
2023-01-15,Apple iPhone 14,78487,78507,19,4.4,2023,1,1,6,1,15,-109.0,-0.1386839024886788,62,0.03
2023-01-16,Apple iPhone 14,77740,79887,2147,4.5,2023,1,1,0,0,16,-747.0,-0.951749971332827,63,2.69
2023-01-17,Apple iPhone 14,78611,79363,752,4.4,2023,1,1,1,0,17,871.0,1.1204013377926314,64,0.95
2023-01-18,Apple iPhone 14,79022,79892,869,4.5,2023,1,1,2,0,18,411.0,0.5228275941026039,65,1.09
2023-01-19,Apple iPhone 14,78566,79771,1205,4.4,2023,1,1,3,0,19,-456.0,-0.5770544911543607,66,1.51
2023-01-20,Apple iPhone 14,77509,81081,3571,4.5,2023,1,1,4,0,20,-1057.0,-1.3453656798106062,67,4.41
2023-01-21,Apple iPhone 14,78371,80930,2558,4.4,2023,1,1,5,1,21,862.0,1.112128914061583,68,3.16
2023-01-22,Apple iPhone 14,77453,82857,5404,4.4,2023,1,1,6,1,22,-918.0,-1.171351647930996,69,6.52
2023-01-23,Apple iPhone 14,77408,77459,50,4.4,2023,1,1,0,0,23,-45.0,-0.05809975081662033,70,0.07
2023-01-24,Apple iPhone 14,77256,81486,4229,4.4,2023,1,1,1,0,24,-152.0,-0.19636213311285955,71,5.19
2023-01-25,Apple iPhone 14,77382,82893,5511,4.5,2023,1,1,2,0,25,126.0,0.16309412861137407,72,6.65
2023-01-26,Apple iPhone 14,78098,82727,4628,4.3,2023,1,1,3,0,26,716.0,0.9252797808275925,73,5.6
2023-01-27,Apple iPhone 14,77670,78033,362,4.4,2023,1,1,4,0,27,-428.0,-0.5480293989602814,74,0.47
2023-01-28,Apple iPhone 14,77231,78620,1388,4.4,2023,1,1,5,1,28,-439.0,-0.5652117934852541,75,1.77
2023-01-29,Apple iPhone 14,77566,80479,2912,4.4,2023,1,1,6,1,29,335.0,0.4337636441325454,76,3.62
2023-01-30,Apple iPhone 14,76773,80497,3723,4.4,2023,1,1,0,0,30,-793.0,-1.0223551556094113,77,4.63
2023-01-31,Apple iPhone 14,77227,81282,4054,4.3,2023,1,1,1,0,31,454.0,0.5913537311294403,78,4.99
2023-02-01,Apple iPhone 14,76998,77336,338,4.4,2023,2,1,2,0,32,-229.0,-0.2965284162274817,79,0.44
2023-02-02,Apple iPhone 14,76426,79799,3372,4.4,2023,2,1,3,0,33,-572.0,-0.7428764383490494,80,4.23
2023-02-03,Apple iPhone 14,77508,80280,2772,4.4,2023,2,1,4,0,34,1082.0,1.4157485672415149,81,3.45
2023-02-04,Apple iPhone 14,77009,79134,2124,4.4,2023,2,1,5,1,35,-499.0,-0.6438045105021439,82,2.69
2023-02-05,Apple iPhone 14,77743,82891,5148,4.4,2023,2,1,6,1,36,734.0,0.9531353478164917,83,6.21
2023-02-06,Apple iPhone 14,76492,81345,4852,4.4,2023,2,1,0,0,37,-1251.0,-1.6091480905033206,84,5.97
2023-02-07,Apple iPhone 14,77152,78269,1117,4.4,2023,2,1,1,0,38,660.0,0.8628353291847413,85,1.43
2023-02-08,Apple iPhone 14,76249,80736,4486,4.4,2023,2,1,2,0,39,-903.0,-1.1704168394856884,86,5.56
2023-02-09,Apple iPhone 14,76854,77053,199,4.4,2023,2,1,3,0,40,605.0,0.7934530288921771,87,0.26
2023-02-10,Apple iPhone 14,76718,80573,3854,4.4,2023,2,1,4,0,41,-136.0,-0.1769589091003776,88,4.78
2023-02-11,Apple iPhone 14,76321,80862,4540,4.4,2023,2,1,5,1,42,-397.0,-0.5174796006152449,89,5.62
2023-02-12,Apple iPhone 14,75743,77627,1884,4.4,2023,2,1,6,1,43,-578.0,-0.7573276031498488,90,2.43
2023-02-13,Apple iPhone 14,75806,79837,4031,4.5,2023,2,1,0,0,44,63.0,0.08317600306297912,91,5.05
2023-02-14,Apple iPhone 14,76677,78639,1961,4.4,2023,2,1,1,0,45,871.0,1.1489855684246653,92,2.49
2023-02-15,Apple iPhone 14,76028,80491,4463,4.4,2023,2,1,2,0,46,-649.0,-0.8464076580982582,93,5.54
2023-02-16,Apple iPhone 14,76186,77988,1802,4.4,2023,2,1,3,0,47,158.0,0.20781817225232757,94,2.31
2023-02-17,Apple iPhone 14,76584,80031,3446,4.4,2023,2,1,4,0,48,398.0,0.5224056913343711,95,4.31
2023-02-18,Apple iPhone 14,75864,78486,2621,4.4,2023,2,1,5,1,49,-720.0,-0.9401441554371726,96,3.34
2023-02-19,Apple iPhone 14,75328,77895,2567,4.4,2023,2,1,6,1,50,-536.0,-0.7065274702098501,97,3.3
2023-02-20,Apple iPhone 14,76248,76759,511,4.3,2023,2,1,0,0,51,920.0,1.2213254035683851,98,0.67
2023-02-21,Apple iPhone 14,75870,77388,1517,4.3,2023,2,1,1,0,52,-378.0,-0.4957507082152923,99,1.96
2023-02-22,Apple iPhone 14,75316,76469,1153,4.3,2023,2,1,2,0,53,-554.0,-0.7301963885593787,100,1.51
2023-02-23,Apple iPhone 14,75118,79263,4144,4.3,2023,2,1,3,0,54,-198.0,-0.2628923469116806,101,5.23
2023-02-24,Apple iPhone 14,75760,81731,5971,4.4,2023,2,1,4,0,55,642.0,0.8546553422615011,102,7.31
2023-02-25,Apple iPhone 14,76086,78970,2884,4.4,2023,2,1,5,1,56,326.0,0.43030623020063885,103,3.65
2023-02-26,Apple iPhone 14,75493,79410,3917,4.4,2023,2,1,6,1,57,-593.0,-0.7793812265068478,104,4.93
2023-02-27,Apple iPhone 14,75587,77750,2162,4.4,2023,2,1,0,0,58,94.0,0.12451485568198972,105,2.78
2023-02-28,Apple iPhone 14,74608,80245,5637,4.3,2023,2,1,1,0,59,-979.0,-1.2951962639078163,106,7.02
2023-03-01,Apple iPhone 14,75667,77450,1782,4.3,2023,3,1,2,0,60,1059.0,1.419418829079988,107,2.3
2023-03-02,Apple iPhone 14,75683,80599,4915,4.3,2023,3,1,3,0,61,16.0,0.021145281298329266,108,6.1
2023-03-03,Apple iPhone 14,75148,75907,758,4.4,2023,3,1,4,0,62,-535.0,-0.7068958682927451,109,1.0
2023-03-04,Apple iPhone 14,74410,75492,1082,4.4,2023,3,1,5,1,63,-738.0,-0.9820620641933231,110,1.43
2023-03-05,Apple iPhone 14,75714,77703,1988,4.4,2023,3,1,6,1,64,1304.0,1.7524526273350327,111,2.56
2023-03-06,Apple iPhone 14,74710,80038,5327,4.4,2023,3,1,0,0,65,-1004.0,-1.326042739783928,112,6.66
2023-03-07,Apple iPhone 14,75210,75959,748,4.4,2023,3,1,1,0,66,500.0,0.6692544505420894,113,0.99
2023-03-08,Apple iPhone 14,74908,80068,5160,4.4,2023,3,1,2,0,67,-302.0,-0.40154234809200995,114,6.44
2023-03-09,Apple iPhone 14,75071,76742,1670,4.4,2023,3,1,3,0,68,163.0,0.2176002563144097,115,2.18
2023-03-10,Apple iPhone 14,75249,77179,1930,4.4,2023,3,1,4,0,69,178.0,0.2371088702694868,116,2.5
2023-03-11,Apple iPhone 14,75312,78706,3393,4.3,2023,3,1,5,1,70,63.0,0.08372204281783535,117,4.31
2023-03-12,Apple iPhone 14,74761,78793,4031,4.4,2023,3,1,6,1,71,-551.0,-0.7316231145103047,118,5.12
2023-03-13,Apple iPhone 14,74090,75368,1278,4.3,2023,3,1,0,0,72,-671.0,-0.8975267853560065,119,1.7
2023-03-14,Apple iPhone 14,74632,74699,66,4.4,2023,3,1,1,0,73,542.0,0.7315427183155698,120,0.09
2023-03-15,Apple iPhone 14,74614,78205,3590,4.4,2023,3,1,2,0,74,-18.0,-0.02411834065816354,121,4.59
2023-03-16,Apple iPhone 14,75027,80284,5256,4.4,2023,3,1,3,0,75,413.0,0.5535154260594588,122,6.55
2023-03-17,Apple iPhone 14,73806,76243,2437,4.4,2023,3,1,4,0,76,-1221.0,-1.6274141309128742,123,3.2
2023-03-18,Apple iPhone 14,74556,77746,3190,4.3,2023,3,1,5,1,77,750.0,1.0161775465409306,124,4.1
2023-03-19,Apple iPhone 14,74484,78886,4402,4.4,2023,3,1,6,1,78,-72.0,-0.09657170449058894,125,5.58
2023-03-20,Apple iPhone 14,73645,76409,2764,4.4,2023,3,1,0,0,79,-839.0,-1.1264164115783237,126,3.62
2023-03-21,Apple iPhone 14,74975,76947,1972,4.3,2023,3,1,1,0,80,1330.0,1.8059610292620043,127,2.56
2023-03-22,Apple iPhone 14,74207,77285,3077,4.4,2023,3,1,2,0,81,-768.0,-1.0243414471490464,128,3.98
2023-03-23,Apple iPhone 14,74556,75170,614,4.4,2023,3,1,3,0,82,349.0,0.4703060358187239,129,0.82
2023-03-24,Apple iPhone 14,73263,75138,1875,4.4,2023,3,1,4,0,83,-1293.0,-1.7342668598100741,130,2.5
2023-03-25,Apple iPhone 14,73195,76561,3365,4.3,2023,3,1,5,1,84,-68.0,-0.09281629198913954,131,4.4
2023-03-26,Apple iPhone 14,73904,75683,1778,4.4,2023,3,1,6,1,85,709.0,0.9686453992759025,132,2.35
2023-03-27,Apple iPhone 14,74515,75112,596,4.4,2023,3,1,0,0,86,611.0,0.82674821389912,133,0.79
2023-03-28,Apple iPhone 14,73543,77098,3555,4.3,2023,3,1,1,0,87,-972.0,-1.3044353485875293,134,4.61
2023-03-29,Apple iPhone 14,73310,75480,2169,4.3,2023,3,1,2,0,88,-233.0,-0.3168214513957768,135,2.87
2023-03-30,Apple iPhone 14,73017,74251,1233,4.5,2023,3,1,3,0,89,-293.0,-0.39967262310734997,136,1.66
2023-03-31,Apple iPhone 14,74109,76481,2372,4.4,2023,3,1,4,0,90,1092.0,1.4955421340235864,137,3.1
2023-04-01,Apple iPhone 14,74162,74794,631,4.4,2023,4,2,5,1,91,53.0,0.07151628007393551,138,0.84
2023-04-02,Apple iPhone 14,72898,77089,4191,4.4,2023,4,2,6,1,92,-1264.0,-1.7043769046142243,139,5.44
2023-04-03,Apple iPhone 14,73379,78715,5335,4.4,2023,4,2,0,0,93,481.0,0.6598260583280835,140,6.78
2023-04-04,Apple iPhone 14,73592,74329,737,4.4,2023,4,2,1,0,94,213.0,0.2902737840526637,141,0.99
2023-04-05,Apple iPhone 14,73337,73747,410,4.5,2023,4,2,2,0,95,-255.0,-0.34650505489727257,142,0.56
2023-04-06,Apple iPhone 14,72641,74042,1401,4.3,2023,4,2,3,0,96,-696.0,-0.9490434569180639,143,1.89
2023-04-07,Apple iPhone 14,74368,76037,1668,4.4,2023,4,2,4,0,97,1727.0,2.3774452444211835,144,2.19
2023-04-08,Apple iPhone 14,73899,74889,990,4.4,2023,4,2,5,1,98,-469.0,-0.6306475903614439,145,1.32
2023-04-09,Apple iPhone 14,73329,78064,4734,4.4,2023,4,2,6,1,99,-570.0,-0.7713230219624112,146,6.07
2023-04-10,Apple iPhone 14,73565,76640,3074,4.4,2023,4,2,0,0,100,236.0,0.32183719947087575,147,4.01
2023-04-11,Apple iPhone 14,74097,79713,5616,4.4,2023,4,2,1,0,101,532.0,0.7231699857269014,148,7.05
2023-04-12,Apple iPhone 14,74152,79420,5268,4.3,2023,4,2,2,0,102,55.0,0.07422702673522963,149,6.63
2023-04-13,Apple iPhone 14,73112,76327,3214,4.4,2023,4,2,3,0,103,-1040.0,-1.4025245441795287,150,4.21
2023-04-14,Apple iPhone 14,72698,73365,667,4.4,2023,4,2,4,0,104,-414.0,-0.5662545136229324,151,0.91
2023-04-15,Apple iPhone 14,73726,75042,1315,4.4,2023,4,2,5,1,105,1028.0,1.4140691628380386,152,1.75
2023-04-16,Apple iPhone 14,73499,79209,5709,4.5,2023,4,2,6,1,106,-227.0,-0.30789680709654155,153,7.21
2023-04-17,Apple iPhone 14,73177,75076,1899,4.4,2023,4,2,0,0,107,-322.0,-0.43810119865576036,154,2.53
2023-04-18,Apple iPhone 14,73713,75029,1316,4.3,2023,4,2,1,0,108,536.0,0.7324705850198843,155,1.75
2023-04-19,Apple iPhone 14,73483,74634,1150,4.3,2023,4,2,2,0,109,-230.0,-0.31202094610177644,156,1.54
2023-04-20,Apple iPhone 14,73097,76238,3140,4.4,2023,4,2,3,0,110,-386.0,-0.525291564035224,157,4.12
2023-04-21,Apple iPhone 14,73127,73201,74,4.5,2023,4,2,4,0,111,30.0,0.041041356006399354,158,0.1
2023-04-22,Apple iPhone 14,72965,74442,1476,4.4,2023,4,2,5,1,112,-162.0,-0.221532402532576,159,1.98
2023-04-23,Apple iPhone 14,72549,77591,5042,4.4,2023,4,2,6,1,113,-416.0,-0.5701363667511838,160,6.5
2023-04-24,Apple iPhone 14,72784,76872,4087,4.5,2023,4,2,0,0,114,235.0,0.32391900646460137,161,5.32
2023-04-25,Apple iPhone 14,73208,78405,5197,4.4,2023,4,2,1,0,115,424.0,0.5825456144207486,162,6.63
2023-04-26,Apple iPhone 14,72363,74759,2395,4.5,2023,4,2,2,0,116,-845.0,-1.1542454376570865,163,3.2
2023-04-27,Apple iPhone 14,73237,78069,4832,4.4,2023,4,2,3,0,117,874.0,1.207799566076595,164,6.19
